experiment,run,turn_ceiling,temperature,status,completed,abandoned,turn_count,retry_count,classification,latency_ms,tag_1,tag_2,tag_3,summary,reviewer_approved,reviewer_issues,input_tokens,output_tokens,total_tokens,started_at,finished_at
ceiling_comparison,1,2,0.7,completed,True,False,1,0,valid_first_attempt,46089.77,sleep quality impact,academic performance metrics,university student study,"Clinical trial examines sleep duration and quality effects on university students' concentration, memory, and academic performance.",True,[],468,69,537,2026-09-14T04:03:09.197307+00:00,2026-09-14T04:03:55.288344+00:00
ceiling_comparison,2,2,0.7,completed,True,False,1,0,valid_first_attempt,8021.15,sleep quality assessment,academic performance metrics,university student health,"Clinical trial examines sleep duration and quality impact on student concentration, memory, and academic outcomes.",True,[],466,66,532,2026-09-14T04:03:55.358786+00:00,2026-09-14T04:04:03.380900+00:00
ceiling_comparison,3,2,0.7,completed,True,False,1,0,valid_first_attempt,8681.54,sleep_quality_academic,university_student_study,concentration_memory_impact,Clinical trial examines sleep duration quality effects on university students academic performance concentration and memory,True,[],467,69,536,2026-09-14T04:04:03.411848+00:00,2026-09-14T04:04:12.093209+00:00
ceiling_comparison,4,2,0.7,completed,True,False,1,0,valid_first_attempt,7744.83,sleep_quality_academic,university_student_focus,concentration_memory_outcomes,"Clinical trial examines sleep duration and quality impact on university students' concentration, memory, and academic performance.",True,[],471,71,542,2026-09-14T04:04:12.123240+00:00,2026-09-14T04:04:19.868506+00:00
ceiling_comparison,5,2,0.7,completed,True,False,1,0,valid_first_attempt,7131.98,sleep_quality_student_academic,sleep_duration_concentration,academic_performance_memory,"Clinical trial examines sleep quality and duration impact on university students' academic performance, concentration, and memory.",True,[],470,70,540,2026-09-14T04:04:19.889057+00:00,2026-09-14T04:04:27.021153+00:00
ceiling_comparison,6,2,0.7,completed,True,False,1,0,valid_first_attempt,6386.51,sleep_quality_academic,university_student_study,concentration_memory_outcomes,Clinical trial examines sleep duration quality impact on student academic performance and cognitive functions.,True,[],466,68,534,2026-09-14T04:04:27.043484+00:00,2026-09-14T04:04:33.429955+00:00
ceiling_comparison,7,2,0.7,completed,True,False,1,0,valid_first_attempt,6239.48,sleep_quality_academic,university_student_study,concentration_memory_perf,"Clinical trial examining sleep duration and quality impact on university students' academic performance, concentration, and memory.",True,[],470,70,540,2026-09-14T04:04:33.448764+00:00,2026-09-14T04:04:39.689042+00:00
ceiling_comparison,8,2,0.7,completed,True,False,1,0,valid_first_attempt,5982.09,sleep_quality,academic_performance,university_students,"Clinical trial examines sleep duration and quality impact on university students' concentration, memory, and academic performance.",True,[],465,66,531,2026-09-14T04:04:39.720199+00:00,2026-09-14T04:04:45.702352+00:00
ceiling_comparison,9,2,0.7,completed,True,False,1,0,valid_first_attempt,6043.18,sleep_quality_impact,academic_performance,university_student_trial,"This trial examines sleep duration and quality effects on university students' concentration, memory, and academic performance.",True,[],468,68,536,2026-09-14T04:04:45.722141+00:00,2026-09-14T04:04:51.765655+00:00
ceiling_comparison,10,2,0.7,completed,True,False,1,0,valid_first_attempt,6381.3,sleep_quality_academic,university_student_concentr,sleep_duration_effects,"Clinical trial examines sleep duration and quality impact on university students' concentration, memory, and academic performance.",True,[],471,71,542,2026-09-14T04:04:51.785698+00:00,2026-09-14T04:04:58.167041+00:00
ceiling_comparison,11,2,0.7,completed,True,False,1,0,valid_first_attempt,6396.82,sleep_quality_academic,university_student_concentr,sleep_duration_impact,"Clinical trial examines sleep duration and quality effects on university students' concentration, memory, and academic performance.",True,[],472,72,544,2026-09-14T04:04:58.190129+00:00,2026-09-14T04:05:04.586814+00:00
ceiling_comparison,12,2,0.7,completed,True,False,1,0,valid_first_attempt,6314.81,sleep quality impact,academic performance study,university student trial,"Study examines sleep duration and quality effects on university students' concentration, memory, and academic performance.",True,[],467,67,534,2026-09-14T04:05:04.599875+00:00,2026-09-14T04:05:10.916514+00:00
ceiling_comparison,13,2,0.7,completed,True,False,1,0,valid_first_attempt,6313.25,sleep_quality_academic,student_concentration,university_sleep_study,Study sleep duration quality impact on student academic performance,True,[],458,59,517,2026-09-14T04:05:10.934891+00:00,2026-09-14T04:05:17.249463+00:00
ceiling_comparison,14,2,0.7,completed,True,False,1,0,valid_first_attempt,6824.59,sleep_quality_academic,university_student_study,concentration_memory_outcomes,"Clinical trial examines sleep duration and quality impact on university students' concentration, memory, and academic performance.",True,[],471,72,543,2026-09-14T04:05:17.275050+00:00,2026-09-14T04:05:24.100087+00:00
ceiling_comparison,15,2,0.7,completed,True,False,1,0,valid_first_attempt,7163.9,sleep_quality_student_academic,sleep_duration_concentration,academic_performance_memory,Clinical trial examines sleep quality and duration impact on university students' academic performance and cognitive functions.,True,[],468,68,536,2026-09-14T04:05:24.127772+00:00,2026-09-14T04:05:31.292878+00:00
ceiling_comparison,16,2,0.7,completed,True,False,1,0,valid_first_attempt,6519.09,sleep_quality_academic,student_concentration,academic_performance_sleep,Study on sleep duration and quality impact on university students' concentration and academic performance,True,[],464,65,529,2026-09-14T04:05:31.311559+00:00,2026-09-14T04:05:37.831112+00:00
ceiling_comparison,17,2,0.7,completed,True,False,1,0,valid_first_attempt,6177.33,sleep_quality_impact,academic_performance,university_student_study,"Clinical trial examines sleep duration and quality effects on university students' concentration, memory, and academic performance.",True,[],468,68,536,2026-09-14T04:05:37.851657+00:00,2026-09-14T04:05:44.029456+00:00
ceiling_comparison,18,2,0.7,completed,True,False,1,0,valid_first_attempt,6146.3,sleep_quality_academic,student_concentration,university_sleep_study,Clinical trial examines sleep duration and quality impact on university students' academic performance and cognitive functions.,True,[],467,68,535,2026-09-14T04:05:44.053548+00:00,2026-09-14T04:05:50.199808+00:00
ceiling_comparison,19,2,0.7,completed,True,False,1,0,valid_first_attempt,7009.67,sleep_quality_and_academic,university_student_concentrati,sleep_duration_effects,"Clinical trial examines sleep duration and quality impact on university students' concentration, memory, and academic performance.",True,[],473,73,546,2026-09-14T04:05:50.221961+00:00,2026-09-14T04:05:57.232169+00:00
ceiling_comparison,20,2,0.7,completed,True,False,1,0,valid_first_attempt,7022.38,sleep_quality_academic,university_student_concentr,sleep_duration_impact,Study sleep quality and academic performance in university students.,True,[],461,64,525,2026-09-14T04:05:57.257514+00:00,2026-09-14T04:06:04.279761+00:00
ceiling_comparison,1,10,0.7,completed,True,False,1,0,valid_first_attempt,6412.55,sleep_quality_academic,university_student_concentr,sleep_duration_effects,"Clinical trial examines sleep's impact on student concentration, memory, and academic outcomes.",True,[],467,67,534,2026-09-14T04:06:04.302336+00:00,2026-09-14T04:06:10.715203+00:00
ceiling_comparison,2,10,0.7,completed,True,False,1,0,valid_first_attempt,6642.09,sleep_quality_academic,university_student_study,concentration_memory_outcomes,Clinical trial assessing sleep impact on university students' academic performance.,True,[],463,65,528,2026-09-14T04:06:10.737252+00:00,2026-09-14T04:06:17.380023+00:00
ceiling_comparison,3,10,0.7,completed,True,False,1,0,valid_first_attempt,6036.08,sleep_quality_impact,academic_performance,university_sleep_study,"Clinical trial examines sleep duration and quality effects on university students' concentration, memory, and academic performance.",True,[],468,68,536,2026-09-14T04:06:17.395741+00:00,2026-09-14T04:06:23.432072+00:00
ceiling_comparison,4,10,0.7,completed,True,False,1,0,valid_first_attempt,5925.86,sleep_quality_impact,academic_performance,university_sleep_study,"This clinical trial examines sleep duration and quality effects on university students' concentration, memory, and academic performance.",True,[],469,69,538,2026-09-14T04:06:23.453830+00:00,2026-09-14T04:06:29.381032+00:00
ceiling_comparison,5,10,0.7,completed,True,False,1,0,valid_first_attempt,6185.79,sleep_quality_academic,university_student_focus,concentration_memory_outcomes,Clinical trial examines sleep duration and quality impact on university students' academic performance and cognitive functions.,True,[],469,71,540,2026-09-14T04:06:29.390711+00:00,2026-09-14T04:06:35.579663+00:00
ceiling_comparison,6,10,0.7,completed,True,False,1,0,valid_first_attempt,5527.64,sleep_quality_academic,university_student_study,sleep_duration_effects,Clinical trial examines sleep quality and academic performance in university students.,True,[],461,61,522,2026-09-14T04:06:35.589276+00:00,2026-09-14T04:06:41.116399+00:00
ceiling_comparison,7,10,0.7,completed,True,False,1,0,valid_first_attempt,6030.92,sleep_quality_impact,academic_performance,university_student_study,"Clinical trial examines sleep duration and quality effects on university students' concentration, memory, and academic performance.",True,[],468,69,537,2026-09-14T04:06:41.132853+00:00,2026-09-14T04:06:47.164827+00:00
ceiling_comparison,8,10,0.7,completed,True,False,1,0,valid_first_attempt,6197.81,sleep_quality_academic_perform,university_student_sleep_study,concentration_memory_impact,"Clinical trial examines sleep duration and quality's impact on university students' concentration, memory, and academic performance.",True,[],475,75,550,2026-09-14T04:06:47.180376+00:00,2026-09-14T04:06:53.377922+00:00
ceiling_comparison,9,10,0.7,completed,True,False,1,0,valid_first_attempt,6046.23,sleep_quality_academic,university_student_concentr,sleep_duration_performance,"Study examines sleep's impact on university students' concentration, memory, and academic performance.",True,[],468,68,536,2026-09-14T04:06:53.389974+00:00,2026-09-14T04:06:59.437009+00:00
ceiling_comparison,10,10,0.7,completed,True,False,1,0,valid_first_attempt,5945.02,sleep_quality_academic,student_concentration,memory_performance_outcomes,"Clinical trial examines sleep duration and quality's impact on university students' concentration, memory, and academic performance.",True,[],470,70,540,2026-09-14T04:06:59.449019+00:00,2026-09-14T04:07:05.394195+00:00
ceiling_comparison,11,10,0.7,completed,True,False,1,0,valid_first_attempt,5786.86,sleep_quality_impact,academic_performance,university_student_trials,"Clinical trial examines sleep duration and quality effects on university students' concentration, memory, and academic outcomes.",True,[],468,68,536,2026-09-14T04:07:05.409155+00:00,2026-09-14T04:07:11.195986+00:00
ceiling_comparison,12,10,0.7,completed,True,False,1,0,valid_first_attempt,6122.92,sleep_quality_effects,academic_performance,university_student_study,"Clinical trial examines sleep duration and quality's impact on university students' concentration, memory, and academic performance.",True,[],468,68,536,2026-09-14T04:07:11.209080+00:00,2026-09-14T04:07:17.332228+00:00
ceiling_comparison,13,10,0.7,completed,True,False,1,0,valid_first_attempt,6455.28,sleep_quality_academic,university_student_concentr,sleep_duration_effects,"Study sleep duration and quality impact on university student concentration, memory, and academic performance.",True,[],468,69,537,2026-09-14T04:07:17.347796+00:00,2026-09-14T04:07:23.804214+00:00
ceiling_comparison,14,10,0.7,completed,True,False,1,0,valid_first_attempt,5732.75,sleep_quality_academic,university_student_concentrate,sleep_duration_effects,Clinical trial examining sleep quality and academic performance in university students.,True,[],463,63,526,2026-09-14T04:07:23.819467+00:00,2026-09-14T04:07:29.552344+00:00
