question_id,technique,rank,query,expected_answer,expected_source_file,retrieved_source_file,source_match,store_score,cosine_similarity,chunk_length,preview,node_id,retrieval_latency_ms
q1,token,1,Why is informed consent considered an ongoing process rather than only obtaining a participant's signature?,"Informed consent requires giving prospective participants adequate information, helping them understand it, allowing questions and time for consideration, obtaining voluntary agreement, and continuing to provide relevant information throughout the clinical investigation.",fda_informed_consent.txt,fda_informed_consent.txt,True,0.6497190222572538,0.6497190222572538,2409,"Page 8 --- Contains Nonbinding Recommendations 3 of the word should in Agency guidance means that something is suggested or recommended, but not required. II. S...",9bca707b-3d4f-405f-a995-bb433835df04,37.0282000003499
q1,token,2,Why is informed consent considered an ongoing process rather than only obtaining a participant's signature?,"Informed consent requires giving prospective participants adequate information, helping them understand it, allowing questions and time for consideration, obtaining voluntary agreement, and continuing to provide relevant information throughout the clinical investigation.",fda_informed_consent.txt,fda_informed_consent.txt,True,0.5585281645243717,0.5585281645243717,2423,sign the consent form (whether the long form or short form is used) unless the IRB has waived documentation of informed consent under 21 CFR 56.109(c). Subjects...,d2591dc5-ef97-4b8e-9122-99a0fb6464d8,37.0282000003499
q1,token,3,Why is informed consent considered an ongoing process rather than only obtaining a participant's signature?,"Informed consent requires giving prospective participants adequate information, helping them understand it, allowing questions and time for consideration, obtaining voluntary agreement, and continuing to provide relevant information throughout the clinical investigation.",fda_informed_consent.txt,fda_informed_consent.txt,True,0.5552059087770077,0.5552059087770077,2350,"FDA’s regulations, provided it is in compliance with applicable regulations.45 In the event that an IRB waives the requirement for documentation of informed con...",60e7571c-6c15-4071-acbf-f6bcfef659fa,37.0282000003499
q1,token,4,Why is informed consent considered an ongoing process rather than only obtaining a participant's signature?,"Informed consent requires giving prospective participants adequate information, helping them understand it, allowing questions and time for consideration, obtaining voluntary agreement, and continuing to provide relevant information throughout the clinical investigation.",fda_informed_consent.txt,fda_informed_consent.txt,True,0.5476265943855405,0.5476265943855405,2335,Use of the short form requires that there be a witness to the oral presentation of information to the subject or the subject’s LAR (21 CFR 50.27(b)(2)). FDA rec...,c54b580a-2e2a-498b-bc16-dfe3ebb50e6e,37.0282000003499
q1,token,5,Why is informed consent considered an ongoing process rather than only obtaining a participant's signature?,"Informed consent requires giving prospective participants adequate information, helping them understand it, allowing questions and time for consideration, obtaining voluntary agreement, and continuing to provide relevant information throughout the clinical investigation.",fda_informed_consent.txt,fda_informed_consent.txt,True,0.5389628262238847,0.5389628262238847,2262,"form. Although FDA regulations do not require the subject's copy to be a signed copy, FDA recommends that a copy of the signed consent form be provided. 4. Form...",70cbc7d6-041a-4c8a-92f9-a0962f052e77,37.0282000003499
q2,token,1,What protections must be present when an investigator obtains informed consent from a clinical-trial participant?,"Consent must be obtained under circumstances that provide sufficient opportunity to decide, minimize coercion or undue influence, use understandable language, and avoid language that waives the participant's legal rights or releases others from liability for negligence.",fda_informed_consent.txt,fda_informed_consent.txt,True,0.7299952923433208,0.7299952923433208,2509,"While an individual subject may be eligible for more than one clinical investigation, that determination and the decision as to which trial would be most approp...",1dbff0a8-9ef4-48e8-bd97-e84500570b51,26.38440000009723
q2,token,2,What protections must be present when an investigator obtains informed consent from a clinical-trial participant?,"Consent must be obtained under circumstances that provide sufficient opportunity to decide, minimize coercion or undue influence, use understandable language, and avoid language that waives the participant's legal rights or releases others from liability for negligence.",fda_informed_consent.txt,fda_informed_consent.txt,True,0.708803772884507,0.708803772884507,2612,in the research (see Frequently Asked Questions #16). Any new information that is part of the consent process must be reviewed and approved by the IRB as a chan...,f608ee69-140b-4cc1-b059-438cbac55b91,26.38440000009723
q2,token,3,What protections must be present when an investigator obtains informed consent from a clinical-trial participant?,"Consent must be obtained under circumstances that provide sufficient opportunity to decide, minimize coercion or undue influence, use understandable language, and avoid language that waives the participant's legal rights or releases others from liability for negligence.",fda_informed_consent.txt,fda_informed_consent.txt,True,0.688627504587432,0.688627504587432,2284,"Consent 1. Requirement for Written Documentation of Informed Consent (a) Except as provided in § 56.109(c), informed consent shall be documented by the use of a...",d117a413-d424-4851-bb36-c25db55e8906,26.38440000009723
q2,token,4,What protections must be present when an investigator obtains informed consent from a clinical-trial participant?,"Consent must be obtained under circumstances that provide sufficient opportunity to decide, minimize coercion or undue influence, use understandable language, and avoid language that waives the participant's legal rights or releases others from liability for negligence.",fda_informed_consent.txt,fda_informed_consent.txt,True,0.688380807023101,0.688380807023101,2554,"data collection as part of the initial consent process. In all of the above situations, privacy and patient confidentiality issues should be considered. The cli...",0bddc751-478b-4e86-9fba-6d321f903bea,26.38440000009723
q2,token,5,What protections must be present when an investigator obtains informed consent from a clinical-trial participant?,"Consent must be obtained under circumstances that provide sufficient opportunity to decide, minimize coercion or undue influence, use understandable language, and avoid language that waives the participant's legal rights or releases others from liability for negligence.",fda_informed_consent.txt,fda_informed_consent.txt,True,0.6883155485122004,0.6883155485122004,2613,"informed consent for certain clinical investigations involving no more than minimal risk. See FDA “Guidance for Sponsors, Investigators, and Institutional Revie...",267224d9-4d8e-439f-b29d-32c999debc3c,26.38440000009723
